EnteredTimestamp,EventTimestamp,EnteredBy,CounterpartyViewCode,ExchangeAccountCode,InstrumentViewCode,BuySell,BuySellQualifier,OrderValue,OrderPrice,OrderStatus,VolumeDone,AveragePrice,VolumeLeft,MarketId,OrderNotes,RouteId,ExchangeOrderId,OrderFlags,ErrorText,CompletionReason,ExpiryTimestamp,ExpiryType,OrderId,OrderVersion,ParentOrderId,Currency,StartOfDayQty,GrossPriceToday,VolumeDoneToday,TradeAmountToday
20180626 09:36:24.687114 +0800 ,20180626 09:36:25.821458 +0800 ,SGDealer,DIS-ALGO,2014,GGR.SP,S, ,5000.0,0.32,C,0.0,0.0,0.0,SES-MAIN,DIS-ALGO|,DIRECT,6145590100010CF3,AGA ,SUCCESS,D,20180626 20:00:00.000000 +0800 ,GFD,00003471551DOSG1,1,ITGS11800761-20180626,SGD,5000.0,,0,0
20180626 09:36:26.974760 +0800 ,20180626 09:36:28.147497 +0800 ,SGDealer,DIS-ALGO,2014,GGR.SP,S, ,5000.0,0.32,C,0.0,0.0,0.0,SES-MAIN,DIS-ALGO|,DIRECT,6145590100010CF5,AGA ,SUCCESS,D,20180626 20:00:00.000000 +0800 ,GFD,00003471552DOSG1,1,ITGS11800764-20180626,SGD,5000.0,,0,0
20180626 09:36:29.486238 +0800 ,20180626 09:36:30.584664 +0800 ,SGDealer,DIS-ALGO,2014,GGR.SP,S, ,5000.0,0.32,C,0.0,0.0,0.0,SES-MAIN,DIS-ALGO|,DIRECT,6145590100010CF7,AGA ,SUCCESS,D,20180626 20:00:00.000000 +0800 ,GFD,00003471553DOSG1,1,ITGS11800767-20180626,SGD,5000.0,,0,0
20180626 09:36:32.006290 +0800 ,20180626 09:36:33.121158 +0800 ,SGDealer,DIS-ALGO,2014,GGR.SP,S, ,5000.0,0.32,C,0.0,0.0,0.0,SES-MAIN,DIS-ALGO|,DIRECT,6145590100010CF9,AGA ,SUCCESS,D,20180626 20:00:00.000000 +0800 ,GFD,00003471554DOSG1,1,ITGS11800770-20180626,SGD,5000.0,,0,0
20180626 09:36:34.522795 +0800 ,20180626 09:36:35.663685 +0800 ,SGDealer,DIS-ALGO,2014,GGR.SP,S, ,5000.0,0.32,C,0.0,0.0,0.0,SES-MAIN,DIS-ALGO|,DIRECT,6145590100010CFB,AGA ,SUCCESS,D,20180626 20:00:00.000000 +0800 ,GFD,00003471555DOSG1,1,ITGS11800773-20180626,SGD,5000.0,,0,0
20180626 09:36:37.024772 +0800 ,20180626 09:36:38.210773 +0800 ,SGDealer,DIS-ALGO,2014,GGR.SP,S, ,5000.0,0.32,C,0.0,0.0,0.0,SES-MAIN,DIS-ALGO|,DIRECT,6145590100010CFD,AGA ,SUCCESS,D,20180626 20:00:00.000000 +0800 ,GFD,00003471556DOSG1,1,ITGS11800775-20180626,SGD,5000.0,,0,0
20180626 09:36:39.525228 +0800 ,20180626 09:36:40.640950 +0800 ,SGDealer,DIS-ALGO,2014,GGR.SP,S, ,5000.0,0.32,C,0.0,0.0,0.0,SES-MAIN,DIS-ALGO|,DIRECT,6145590100010CFF,AGA ,SUCCESS,D,20180626 20:00:00.000000 +0800 ,GFD,00003471557DOSG1,1,ITGS11800779-20180626,SGD,5000.0,,0,0
20180626 09:36:42.034208 +0800 ,20180626 09:36:43.186520 +0800 ,SGDealer,DIS-ALGO,2014,GGR.SP,S, ,5000.0,0.32,C,0.0,0.0,0.0,SES-MAIN,DIS-ALGO|,DIRECT,6145590100010D03,AGA ,SUCCESS,D,20180626 20:00:00.000000 +0800 ,GFD,00003471560DOSG1,1,ITGS11800789-20180626,SGD,5000.0,,0,0
20180626 09:36:44.630975 +0800 ,20180626 09:36:45.832273 +0800 ,SGDealer,DIS-ALGO,2014,GGR.SP,S, ,5000.0,0.32,C,0.0,0.0,0.0,SES-MAIN,DIS-ALGO|,DIRECT,6145590100010D05,AGA ,SUCCESS,D,20180626 20:00:00.000000 +0800 ,GFD,00003471561DOSG1,1,ITGS11800797-20180626,SGD,5000.0,,0,0
20180626 09:36:47.153693 +0800 ,20180626 09:36:48.271302 +0800 ,SGDealer,DIS-ALGO,2014,GGR.SP,S, ,5000.0,0.32,C,0.0,0.0,0.0,SES-MAIN,DIS-ALGO|,DIRECT,6145590100010D07,AGA ,SUCCESS,D,20180626 20:00:00.000000 +0800 ,GFD,00003471562DOSG1,1,ITGS11800799-20180626,SGD,5000.0,,0,0
