Date,MatchTime,OrderID,Participant,CounterParty,API,AccountID,TraderID,ContractID,TradePrice,TradeSize,BuySell,StockCode,StockName,Market,Currency,Product,OrderValidity,OrderQty,BalanceQty,MarriedTrade,CustomerInfo
2018-06-26,09:49:12,6145590100010DD9,252,252,72252B,0002001,108,41,0.27,44,B,NS8U_US,HPH Trust USD,UNIT,USD,Unit Trusts,DAY,99,55,N,00003471615OSG1
2018-06-26,09:53:48,6145590100010CDD,252,252,72252B,0002001,108,44,0.295,300,B,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,50000,49700,N,00003471539OSG1
2018-06-26,09:53:48,6145590100010DF0,252,252,72252B,0002411,108,44,0.295,300,S,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,300,0,N,00003471618OSG1
2018-06-26,09:53:54,6145590100010CDD,252,252,72252B,0002001,108,45,0.295,400,B,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,50000,49300,N,00003471539OSG1
2018-06-26,09:53:54,6145590100010DF1,252,252,72252B,0002411,108,45,0.295,400,S,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,400,0,N,00003471619OSG1
2018-06-26,09:53:59,6145590100010CDD,252,252,72252B,0002001,108,46,0.295,200,B,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,50000,49100,N,00003471539OSG1
2018-06-26,09:53:59,6145590100010DF2,252,252,72252B,0002411,108,46,0.295,200,S,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,200,0,N,00003471620OSG1
2018-06-26,09:54:03,6145590100010CDD,252,252,72252B,0002001,108,47,0.295,100,B,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,50000,49000,N,00003471539OSG1
2018-06-26,09:54:03,6145590100010DF3,252,252,72252B,0002411,108,47,0.295,100,S,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,100,0,N,00003471621OSG1
2018-06-26,09:54:09,6145590100010CDD,252,252,72252B,0002001,108,48,0.295,500,B,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,50000,48500,N,00003471539OSG1
2018-06-26,09:54:09,6145590100010DF4,252,252,72252B,0002411,108,48,0.295,500,S,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,500,0,N,00003471622OSG1
2018-06-26,09:54:16,6145590100010CDD,252,252,72252B,0002001,108,49,0.295,400,B,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,50000,48100,N,00003471539OSG1
2018-06-26,09:54:16,6145590100010DFC,252,252,72252B,0002411,108,49,0.295,400,S,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,400,0,N,00003471623OSG1
2018-06-26,09:54:26,6145590100010CDD,252,252,72252B,0002001,108,50,0.295,2100,B,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,50000,46000,N,00003471539OSG1
2018-06-26,09:54:26,6145590100010DFD,252,252,72252B,0002411,108,50,0.295,2100,S,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,2100,0,N,00003471624OSG1
2018-06-26,09:54:32,6145590100010CDD,252,252,72252B,0002001,108,51,0.295,100,B,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,50000,45900,N,00003471539OSG1
2018-06-26,09:54:32,6145590100010DFE,252,252,72252B,0002411,108,51,0.295,100,S,E5H_RY,Golden Agri-Res,READY,SGD,Cash,DAY,100,0,N,00003471625OSG1
2018-06-26,09:54:34,6145590100010DE1,252,252,72252B,0002001,108,52,0.7,55,B,40F_US,$ Alliance Mineral,UNIT,SGD,Cash,DAY,88,33,N,00003471617OSG1
2018-06-26,09:54:34,6145590100010DFF,252,252,72252B,0002001,108,52,0.7,55,S,40F_US,$ Alliance Mineral,UNIT,SGD,Cash,DAY,55,0,N,00003471626OSG1
2018-06-26,09:54:48,6145590100010DD0,252,252,72252B,0002411,108,53,0.27,100,S,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,50000,49900,N,00003471612OSG1
2018-06-26,09:54:48,6145590100010E04,252,252,72252B,0002001,108,53,0.27,100,B,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,100,0,N,00003471627OSG1
2018-06-26,09:54:53,6145590100010DD0,252,252,72252B,0002411,108,54,0.27,200,S,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,50000,49700,N,00003471612OSG1
2018-06-26,09:54:53,6145590100010E05,252,252,72252B,0002001,108,54,0.27,200,B,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,200,0,N,00003471628OSG1
2018-06-26,09:54:56,6145590100010DD0,252,252,72252B,0002411,108,55,0.27,300,S,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,50000,49400,N,00003471612OSG1
2018-06-26,09:54:56,6145590100010E06,252,252,72252B,0002001,108,55,0.27,300,B,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,300,0,N,00003471629OSG1
2018-06-26,09:55:00,6145590100010DD0,252,252,72252B,0002411,108,56,0.27,400,S,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,50000,49000,N,00003471612OSG1
2018-06-26,09:55:00,6145590100010E07,252,252,72252B,0002001,108,56,0.27,400,B,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,400,0,N,00003471630OSG1
2018-06-26,09:55:04,6145590100010DD0,252,252,72252B,0002411,108,57,0.27,100,S,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,50000,48900,N,00003471612OSG1
2018-06-26,09:55:04,6145590100010E08,252,252,72252B,0002001,108,57,0.27,100,B,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,100,0,N,00003471631OSG1
2018-06-26,09:55:08,6145590100010DD0,252,252,72252B,0002411,108,58,0.27,300,S,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,50000,48600,N,00003471612OSG1
2018-06-26,09:55:08,6145590100010E09,252,252,72252B,0002001,108,58,0.27,300,B,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,300,0,N,00003471632OSG1
2018-06-26,09:55:13,6145590100010DD0,252,252,72252B,0002411,108,59,0.27,2300,S,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,50000,46300,N,00003471612OSG1
2018-06-26,09:55:13,6145590100010E0F,252,252,72252B,0002001,108,59,0.27,2300,B,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,2300,0,N,00003471633OSG1
2018-06-26,09:55:18,6145590100010DD0,252,252,72252B,0002411,108,60,0.27,200,S,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,50000,46100,N,00003471612OSG1
2018-06-26,09:55:18,6145590100010E10,252,252,72252B,0002001,108,60,0.27,200,B,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,200,0,N,00003471634OSG1
2018-06-26,09:55:22,6145590100010DD0,252,252,72252B,0002411,108,61,0.27,500,S,NS8U_RY,HPH Trust USD,READY,USD,Unit Trusts,DAY,50000,45600,N,00003471612OSG1
